location,coordinates,name,room type,room price,number of reviews,minimum nights,availibility,rooms rent by the host
 Justicia,"40.42307451536409, -3.6994170972940825",NEW CUTE STUDIO IN CHUECA-MALASAÑA,Entire home/apt,95,67,4,365,1
 Opañel,"40.39292320280567, -3.7205141864360844",Cozzy Loft next to Madrid Río,Entire home/apt,50,16,1,365,4
 Justicia,"40.422824271586926, -3.697006861664303",LUX APARTMENT IN MAD CENTRAL WITH GARAGE,Entire home/apt,189,10,2,89,1
 Justicia,"40.42099229297802, -3.6997760498400845",f,Private room,60,2,2,364,1
 Sol,"40.416769892351624, -3.704130796076475","Apartamento en el centro, junto calle Preciados",Entire home/apt,100,3,5,364,2
 Castilla,"40.480243804352035, -3.68387341662451",Espectacular habitación s/ Paseo de la Castellana!,Private room,120,0,2,0,2
 Justicia,"40.423517667719366, -3.6970501384729677",Ático triplex en plaza de Chueca,Private room,50,4,1,89,1
 Hispanoamérica,"40.45356624391924, -3.6732763626110847",Gran apartamento cerca del  Santiago Bernabéu,Entire home/apt,100,0,30,180,2
 Almagro,"40.43424250868658, -3.6925578207324974",APARTAMENTO CHAMBERÍ,Entire home/apt,90,3,20,364,6
 Moscardó,"40.38936416658348, -3.7008220847668425",Habitación,Private room,99,0,2,0,1
 Ciudad Jardín,"40.44603236660549, -3.6721327976921705",Sencilla y acogedora habitación en López de Hoyos,Private room,25,11,1,0,1
 Aeropuerto,"40.452793427681854, -3.581910007227045",Cosy 2Bed in Madrid w/easy Airport access,Entire home/apt,45,24,2,0,1
 Aravaca,"40.45106176096375, -3.7688808225785264",Bonito apartamento en zona residencial (Aravaca),Entire home/apt,40,8,4,0,7
 Justicia,"40.423680519243305, -3.695484594300124",Modern Apt in the SOHO of Madrid,Entire home/apt,150,0,3,0,1
 Embajadores,"40.41068207112741, -3.7016830756124306",appartment  in the center with PARKING free,Entire home/apt,58,75,1,365,1
 Concepción,"40.435542026753204, -3.657876074472098",Encanto especial y luminoso en el centro de Madrid,Private room,40,30,1,180,1
 Embajadores,"40.408760157167144, -3.7024427005331817",APARTAMENTO LAVAPIÉS - CENTRO MADRID,Entire home/apt,48,57,15,0,1
