location,coordinates,name,room type,room price,number of reviews,minimum nights,availibility,rooms rent by the host
 Embajadores,"40.41182867508867, -3.7037133289402098",Casa de diseño pegada a la Puerta del Sol,Entire home/apt,190,72,2,180,4
 Recoletos,"40.4224851134477, -3.6810137830631486",Lujoso estudio en el exclusivo Barrio de Recoletos,Entire home/apt,41,39,30,0,1
 Castellana,"40.43520028135501, -3.6842988548965696",Estudio en Salamanca,Entire home/apt,45,1,2,0,1
 Argüelles,"40.42612947590167, -3.7172651257652616","HABITACIÓN INDIVIDUAL, CON TODAS LAS COMODIDADES",Private room,55,12,1,365,2
 Rios Rosas,"40.445747924083186, -3.697170080167738","Beautiful, clean and large apartment",Private room,35,0,2,0,1
 Prosperidad,"40.44222827601317, -3.671839956894961",A homey stay in Madrid!,Private room,25,0,2,0,1
 Universidad,"40.42581328215057, -3.705544427191666",Habitacion doble en el corazon de Madrid,Private room,27,47,2,89,2
 Trafalgar,"40.428446051215616, -3.696408390303282",Nice and modern studio near to Alonso Martinez,Entire home/apt,70,1,5,0,1
 Trafalgar,"40.42815820319786, -3.6974385667133456",Piso cerca de Tribunal y Malasaña.,Entire home/apt,65,6,1,0,3
 Embajadores,"40.40900239534584, -3.6998652516495634",Cozy & Central apartment in Madrid,Entire home/apt,100,78,5,0,5
 Embajadores,"40.40867473008515, -3.7032868193676047",APARTAMENTO DE DISEÑO EN EL CENTRO DE MADRID,Entire home/apt,100,14,2,0,3
 Palos de Moguer,"40.4039539932841, -3.7001559006093148",Big room,Private room,35,0,1,0,1
 Palacio,"40.41532287653841, -3.7105529279548084",Center. Royal Palace,Entire home/apt,72,33,2,0,6
 Universidad,"40.42566527799938, -3.701875251701971",CHIC AND UNIQUE | MALASAÑA - A/C,Entire home/apt,85,34,7,0,1
 Argüelles,"40.42389955963879, -3.7134960286452623",Apartamento Sencillo Plaza España.,Entire home/apt,50,4,2,0,1
 Arapiles,"40.43713749459784, -3.7109125573939483",市中心交通便利公寓,Private room,50,1,1,0,1
 San Isidro,"40.397946910786956, -3.7160268555180656","Precioso apartamento 2 dorm, 2 baños Puente Toledo",Entire home/apt,110,0,4,0,5
 Universidad,"40.42632502940941, -3.7110979582202344","Plaza de España- Gran Vía Area, 4 PAX Apartment",Entire home/apt,99,89,2,179,1
 Embajadores,"40.40690251568884, -3.7085012369347576",Habitación doble muy bien ubicada en La Latina,Private room,22,2,1,0,1
 Embajadores,"40.41175557680722, -3.6990772881461567",Rustic Mansard w/terrace ANTON MARTIN,Entire home/apt,71,20,2,179,1
 Pueblo Nuevo,"40.42773105011792, -3.636725315087",HABITACION EN MADRID,Private room,50,3,30,1,4
 Palos de Moguer,"40.404216110497764, -3.6918673920113996",Loft En Madrid,Entire home/apt,78,9,2,0,1
 Moscardó,"40.388547986438766, -3.6991365309875532","马德里景点旁交通便利,3号6号地铁直通太阳门广场市中心,大型商场餐厅酒吧超市公园,房东可提供旅游帮助",Private room,17,2,1,0,1
 Pacífico,"40.40370771296202, -3.676903082634816",// Peace & Love \\ (Retiro-Atocha),Private room,24,120,2,0,1
 Universidad,"40.42139466271989, -3.7032583520576434","Habitación en el Centro de Madrid, Malasaña",Private room,35,57,4,0,2
 Argüelles,"40.423675316113936, -3.714842807863337",Apartamento Plaza de España,Entire home/apt,70,59,2,0,4
 Fuente del Berro,"40.42524745834243, -3.6626769805820376",Habitación increible,Private room,25,1,2,0,1
 Goya,"40.42522257214857, -3.669167591540564",Lujo ecléctico en una habitación con baño privado en el barrio de Salamanca,Private room,75,19,2,0,1
 Recoletos,"40.42477668784358, -3.681903737380948",Comfortable & stylish apartment in central Madrid,Entire home/apt,140,34,2,0,7
 Pinar del Rey,"40.47850806577189, -3.648350103022289",Habitación en casa compartida muy luminosa.,Private room,30,3,30,365,2
 Universidad,"40.42057159456963, -3.7015852546234123",Cozy and sunny appartment in Gran Vía!,Entire home/apt,82,0,3,0,1
 Embajadores,"40.40924070652295, -3.6981267758024283",COZY APARTMENT LAVAPIES,Entire home/apt,65,2,3,365,2
 Universidad,"40.42154279532291, -3.7074058882523806",Espectacular apartamento en Gran Vía,Entire home/apt,110,59,1,89,1
 Numancia,"40.396184403528586, -3.6632931137754086",Habitación Privada,Private room,20,3,25,0,1
 Entrevías,"40.39079255698126, -3.671563950180081",Estudio Apartamento,Entire home/apt,58,23,3,0,1
 Palacio,"40.410602736948746, -3.7112620370274487","Elegant, just reformed entire flat in La Latina",Entire home/apt,90,8,4,0,3
 Palacio,"40.411543710681755, -3.7095447326121587","Elegant, just reformed half flat La Latina, Madrid",Private room,63,2,2,365,3
 Hispanoamérica,"40.45641850542567, -3.677303684475985",Habitación Privada con muy buena ubicación,Private room,30,25,1,89,1
 Cortes,"40.41435502095556, -3.7033707841580674","Apartamento en SOL, Barrio de las Letras, Madrid",Entire home/apt,80,1,2,0,1
 Opañel,"40.39258418734745, -3.722760953606207",Paulina´s 4 - Elegance,Private room,25,0,30,365,7
 Cuatro Caminos,"40.45339604500176, -3.6991752937032087",Habitación en Bernabeu con baño privado,Private room,70,2,1,0,2
 Goya,"40.42681092272028, -3.678502300080056","Full apartment Madrid Centre, Goya. Best location!",Entire home/apt,59,62,5,180,2
 Acacias,"40.40099797043909, -3.7089769685161644",Piso centro Madrid.,Private room,80,1,5,179,1
 Aravaca,"40.45832013263098, -3.7801534069218947",Habitación exterior en Moncloa,Private room,20,1,7,0,2
 Universidad,"40.4222452028117, -3.7031657423101136",HABITACIÓN DE LUJO / GRAN VIA / MADRID,Private room,19,28,3,0,2
 Justicia,"40.42178880422133, -3.7015962803832125","Alojamiento por Gran Via, Sol, Tribunal y Chueca.",Private room,28,7,3,90,3
 Embajadores,"40.40914259937992, -3.6988301587633945",Cozy Apartment - 2 bedrooms,Entire home/apt,65,0,7,365,4
 Moscardó,"40.38746850953254, -3.7099563763727796",Madrid zona tranquila y cerca del centro,Private room,33,27,1,90,1
 Trafalgar,"40.427577550345625, -3.6965719373491415",Nice an cozy apartment in the heart of Madrid,Entire home/apt,55,162,2,0,1
 Timón,"40.47293973431129, -3.5835391822719056",Habitación al lado terminales y metro,Private room,20,0,30,0,1
 Embajadores,"40.41108193951494, -3.7003669524850324",Classy and cozy apartment in Lavapies,Entire home/apt,75,30,2,179,1
 Embajadores,"40.41141347009203, -3.7013454903718714",OASIS EN LAVAPIÉS,Private room,35,27,2,365,1
 Adelfas,"40.40048405430097, -3.668118481493234",EXCEPTIONAL REFORMED APARTMENT,Entire home/apt,42,26,1,0,2
 Embajadores,"40.41056005397407, -3.703369348436818",Cozy & Chic and Renovated - BEST LOCATION,Entire home/apt,80,52,4,364,1
 Puerta Bonita,"40.38637626584932, -3.733096651755039",Habitación con escritorio,Private room,60,1,15,365,1
 Imperial,"40.41326136111265, -3.719188393648046",APARTAMENTOS VIVE MADRID - Casa Duque,Entire home/apt,95,0,2,364,2
 Universidad,"40.424873238390234, -3.7067731232979577","Apartamento en pleno centro,apartment in  center",Entire home/apt,85,12,2,0,1
 Rosas,"40.42380642570401, -3.6063049916791785",Habitación Privada de lujo en Madrid,Private room,50,1,1,89,2
 Embajadores,"40.41092157688701, -3.702514489266784",Cozy and Stylish - 1BD 1BT - Lavapies,Entire home/apt,101,13,4,1,2
 Embajadores,"40.41325347869825, -3.7029133972124675",Bonito estudio en pleno centro de Madrid,Entire home/apt,42,3,3,0,1
 Puerta del Angel,"40.413502076420976, -3.726335434253177",Estudio brooklin - wifi - Madrid Rio,Entire home/apt,39,11,3,0,1
 Prosperidad,"40.44130154074825, -3.6743444209231075","Alojamiento TOP, habitaciones privadas",Private room,48,2,1,0,2
 Universidad,"40.42333257306106, -3.7035908117702423",The Malasaña Nest ** City Center Apt,Entire home/apt,105,40,2,1,1
 Universidad,"40.42397093606103, -3.7078079812115887",CENTRO MADRID-Malasaña habitación privada con baño,Private room,30,3,1,0,1
 Vista Alegre,"40.388078019392566, -3.741633863102162",Habitación. Para chicas con mesa de trabajo,Private room,49,1,7,365,1
 Embajadores,"40.40763171035812, -3.7041265468782014",Nice and comfy room in the city center.,Private room,100,0,1,0,2
 Valdeacederas,"40.46978332546669, -3.7072883975773157",Zona Plaza Castilla - Habitación Privada,Private room,20,12,1,0,1
 Ventas,"40.42802777128539, -3.6571218800543255",Habitación tranquila en la zona  de Ventas.,Private room,30,4,2,0,1
 Ventas,"40.42780321960337, -3.659624937896219","Habitación Doble tranquila, plaza de toros  Madrid",Private room,30,0,2,0,1
 Universidad,"40.42498426143269, -3.7099832940026785",Nice and quite room in the coolest area of Madrid!,Private room,60,8,2,0,1
 Ventas,"40.42400767260273, -3.6531985465529133",Habitación luminosa y amplia para 2,Private room,42,17,1,0,2
 Arapiles,"40.43519046425001, -3.7102737097529914",Twin bedroom in the city centre.,Private room,25,0,14,1,3
 Niño Jesús,"40.4164598389905, -3.674563781843658","Habitación en el centro, al lado del retiro.",Private room,25,98,1,1,1
 Vallehermoso,"40.44076681115134, -3.7059836028437085",COZY ROOM IN CHAMBERI. 10 MINUTS FROM  CITY CENTRE,Private room,140,0,1,0,1
 Ibiza,"40.41806368122262, -3.6721731357445675",Cosy Room for Champions League,Private room,75,0,1,1,4
 Casco Histórico de Vallecas,"40.3768205249514, -3.6270351307427036",Habitación para Champions,Private room,150,0,1,365,2
 Pueblo Nuevo,"40.43234030991257, -3.63523637348648",Enjoy a lovely warm staying in Madrid,Private room,35,2,1,0,1
 Berruguete,"40.45993875174771, -3.7006397858447015",Spacious Private Double Room With a Balcony,Private room,89,0,1,0,2
 Castellana,"40.43003411327764, -3.6839379257559006",Beautiful Room in the nicest Area of Madrid,Private room,170,0,1,0,2
 Palacio,"40.408025071141076, -3.7126343717055503",Apartamento Centro Madrid La Paloma,Entire home/apt,75,3,1,89,6
 Canillas,"40.464403740540504, -3.6335526992669682",Habitación con baño privado en Aeropuerto e IFEMA,Private room,38,43,2,0,1
 Gaztambide,"40.433808820059895, -3.712636786051281",Habitación Luminosa en Madrid Centro,Private room,45,5,1,0,1
 Pueblo Nuevo,"40.42659947235108, -3.640917433639988",Habitación para Final de Champions 2019,Private room,150,0,1,365,1
 Embajadores,"40.409653959374, -3.7088568605484995",Superbe Chambre dans Madrid Centre La Latina,Private room,40,1,2,0,2
 Peñagrande,"40.48273374621268, -3.720647917522685",Room for Rent in Madrid Spain,Private room,50,7,2,364,2
 Puerta del Angel,"40.4107180143342, -3.728786945550116",Confortable habitación,Private room,120,0,2,365,2
 Canillejas,"40.437838909385874, -3.6105710382954537",Habitaciones CHAMPIONS LEAGUE,Private room,150,0,1,364,1
 Valverde,"40.50683784859285, -3.668452020084143",Habitación luminosa y tranquila en Las Tablas,Private room,30,5,1,0,1
 San Cristobal,"40.34283764148554, -3.6867236044016614",Habitacion con cama doble,Private room,35,0,1,0,2
 Justicia,"40.422548988220505, -3.6963594205892183",Apartamento de diseño en pleno centro de Chueca,Entire home/apt,120,6,4,364,1
 Universidad,"40.42330299504964, -3.7029723175556764",Habitacion disponible en el pleno centro  Malasaña,Private room,40,0,15,0,1
 Embajadores,"40.4087295479213, -3.699497693098898",Lavapiés barrio castizo que debes conocer,Entire home/apt,70,11,3,364,1
 Embajadores,"40.40681304265512, -3.7076823199363225",BIG private exterior Room at the Rastro Market,Private room,28,17,2,0,1
 Universidad,"40.42338794477982, -3.7016517432947604",Cozy apartment in the center,Entire home/apt,10,22,1,0,3
 Castillejos,"40.457309943177236, -3.695529112214762",Luminosa y silenciosa habitación Sor Ángela Cruz.,Private room,35,1,1,0,1
 Universidad,"40.42355511651068, -3.7010536804677803",APARTAMENTO MADRID TITANIA 5,Entire home/apt,53,46,1,0,5
 Ventas,"40.42159998986533, -3.64442926352212",Habitación Individual,Private room,25,0,3,364,3
 Guindalera,"40.434907683676784, -3.66900564420064",Habitación en ático de lujo cerca del centro,Private room,50,9,1,0,1
 Rios Rosas,"40.444948482899775, -3.7006177830810816",Estupendo piso,Entire home/apt,75,0,2,0,1
 Bellas Vistas,"40.45220357172881, -3.708257390458807",Great Room for 1 or 2  in Lovely Tetuan Apartment!,Private room,35,22,2,90,1
 Castellana,"40.43573401057161, -3.6865634467049446",Serrano Madrid,Entire home/apt,145,2,2,0,6
 Palacio,"40.41334228923874, -3.708323122908714",Apartamento La Latina Madrid,Entire home/apt,59,32,1,1,3
 Puerta Bonita,"40.382435760652335, -3.731120802012589",Cama calle Fausto Domingo,Private room,100,0,1,365,1
 San Pascual,"40.443087157666206, -3.649957618388801",Cama maravillosa madrid,Private room,100,0,1,365,1
 Embajadores,"40.4098437883925, -3.703295992166111",Habitación luminosa a dos minutos del M Lavapiés.,Private room,30,0,1,0,1
 Trafalgar,"40.42982344280208, -3.7030113388543864",Bedroom for rent in center of Madrid,Private room,30,0,5,0,1
 Cortes,"40.411544645858676, -3.6975517673900375","Acogedor piso, con ambiente familiar, muy luminoso",Entire home/apt,100,0,3,0,1
 Embajadores,"40.40743620477384, -3.697281862194501",REINASOFIA 6 pax new luxury in LAVAPIÉS -WIFI-70m2,Entire home/apt,100,23,3,0,1
 Sol,"40.41643187803536, -3.707131832571152","Live&Enjoy Sol, Plaza Mayor",Entire home/apt,47,15,2,0,5
 Quintana,"40.43401331221558, -3.650834693641217",HABITACIÓN CON VISTAS EN QUINTANA. WIFI.,Private room,35,21,2,0,1
 Universidad,"40.42482137282574, -3.7094932191602674","Apartamento en pleno centro de Madrid, Malasaña.",Entire home/apt,120,4,2,0,1
 Timón,"40.469518887089706, -3.5844378868674527",Private room in Barajas in a shared house.,Private room,55,83,7,0,3
 Castellana,"40.43438153010469, -3.680098760076764",habitacion en calle jose ortega y gasset,Private room,35,0,2,0,7
 Moscardó,"40.39003149671769, -3.7028863169703725",pequenita y acogedora.,Private room,24,4,1,365,2
 Guindalera,"40.430606909988114, -3.66592343185165",1 Habitación Individual. Barrio Salamanca,Private room,25,1,2,0,1
 Timón,"40.47003684827136, -3.5922375439152985",ESPACIOSA HABITACIÓN MADRID IFEMA AEROPUERTO,Private room,50,4,3,90,3
 Justicia,"40.42250679720613, -3.6966440525568487",Private comfy room in Chueca,Private room,48,1,3,1,1
 Quintana,"40.436348044657784, -3.64340629298134",Estiloso & acogedor apartamento en Pueblo Nuevo,Entire home/apt,78,20,2,0,2
 Pradolongo,"40.384613571122955, -3.70515788634187",Bienvenido!!!,Private room,25,4,2,0,1
 Palos de Moguer,"40.400686385330964, -3.6866963806784674",¡Una familia en tus días de estancia!,Private room,19,3,1,0,1
 Palacio,"40.419554824374444, -3.708479154853818",Habitación en pleno corazón del centro de madrid,Private room,39,1,2,90,1
 Aguilas,"40.38393596544381, -3.7675826110668402",Piso luminoso,Entire home/apt,65,0,7,365,1
 Universidad,"40.42191469648443, -3.7028194767117273",acogedor apartamento en  Malasaña Chueca piso loft,Entire home/apt,65,14,1,89,1
 Moscardó,"40.38721432524258, -3.711451439984831",PISO DE TRES DORMITORIOS EN USERA!,Entire home/apt,60,0,90,179,1
 Castellana,"40.43583480766879, -3.6848814255438285",Luxury 1 bedroom apt in the best area of Madrid!,Entire home/apt,100,2,2,0,1
 Piovera,"40.45605145332744, -3.6440524934468783",EXCLUSIVE green room w/bath -IFEMA-Aeropuerto 15mn,Private room,34,0,1,0,4
 Hispanoamérica,"40.45669815243708, -3.6702398305666897",Habitación confortable y luminosa,Private room,23,1,15,180,2
 Guindalera,"40.43333999648019, -3.6678219053764494","Apto. céntrico con patio, 2 habs. dobles y garaje",Entire home/apt,140,2,2,0,1
 Palomeras Bajas,"40.38452858106853, -3.662177447478035",Alojamiento con calidad,Entire home/apt,100,1,1,1,3
 Cuatro Caminos,"40.4491327221509, -3.6979324487917795",Recién reformado a estrenar en Nuevos Ministerios,Entire home/apt,150,4,2,89,1
 Palacio,"40.41134357291032, -3.7106929707075644",Balham House / Plaza Mayor,Entire home/apt,120,13,2,0,2
 Hispanoamérica,"40.456089238229445, -3.680586479557527",Madrid,Private room,27,0,30,179,1
 Arcos,"40.42407817434623, -3.618681885272033",Se alquila para una chika!!,Private room,16,0,1,364,2
 Imperial,"40.409238310340854, -3.721267720901697",Habitación individual Madrid,Private room,50,0,1,90,1
 Sol,"40.420518668157634, -3.7071359059800524",Luminoso y Moderno - 1D 1B - Gran Vía 3,Entire home/apt,82,2,2,365,5
 Cortes,"40.41239111982871, -3.7001989194238245",Self check in COVID FREE - COZY & CHIC BEST LOCATION,Entire home/apt,65,6,4,365,1
 Pinar del Rey,"40.47527031016949, -3.6362579703550773","Cerca del aueropuerto, IFEMA. Buena accesibilidad",Private room,35,0,1,365,2
 Peñagrande,"40.47041520223076, -3.7197001830150858",Habitación en casa nueva con wifi y gimnasio.,Private room,40,1,1,365,4
 Embajadores,"40.41076438959353, -3.6991764119944612",La Casa Clandestina,Entire home/apt,95,4,1,0,1
 Prosperidad,"40.44254349166277, -3.6736215303195294",Modern Apartment Prosperidad- 1 bathroom,Entire home/apt,65,1,5,365,1
 El Goloso,"40.50443314897076, -3.701938193822277",Habitación individual en zona residencial,Private room,25,0,15,90,1
 Embajadores,"40.410323801688136, -3.6996427385969204",COZY APARTMENT LAVAPIES,Entire home/apt,50,0,2,365,3
 Palacio,"40.41282554877125, -3.7093146572595095",ESPECTACULAR APARTAMENTO EXTERIOR EN LA LATINA,Entire home/apt,75,2,2,180,5
 Pinar del Rey,"40.476019454525215, -3.647322884013035",Confort y juventud.,Private room,20,1,1,89,1
 Universidad,"40.42529060334471, -3.702292637577569","Private double room in cool, central neighbourhood",Private room,35,3,1,90,1
 Los Angeles,"40.36279135429341, -3.6971673756934313","Habitación doble, muy cómoda.",Private room,40,0,1,365,2
 Embajadores,"40.40909413769753, -3.6974409311147083",Hermoso Loft a estrenar a metros de Reina Sofia,Entire home/apt,75,1,2,0,1
 Zofío,"40.382441461336704, -3.7140124144840136",ApartaStudio para 2+1 (Larga Estadía),Entire home/apt,39,0,28,179,3
 Rios Rosas,"40.44476400002289, -3.6976985945820915",habitación individual-gran barrio de madrid centro,Private room,35,0,3,89,1
 Peñagrande,"40.48063210167583, -3.722151416456413",Habitación acogedora bien comunicada del centro.,Private room,45,0,2,365,1
 Recoletos,"40.423993168139276, -3.6815733394273336",Balboa 25,Entire home/apt,70,0,3,365,1
 Embajadores,"40.40965185880854, -3.707036940131737",Centro histórico II,Entire home/apt,55,0,28,179,3
 Universidad,"40.429089025722675, -3.7041941254810524",Brand new apartment up to 6 people downtown madrid,Entire home/apt,100,0,1,0,6
 Universidad,"40.421592104084475, -3.7045546634110353",Cozy  3 bedroom apartment for rent in Malasana,Entire home/apt,120,0,5,364,3
 Universidad,"40.42055879512475, -3.704296993257983",Apartamento de lujo en Gran Vía,Entire home/apt,130,0,1,180,2
 Fuente del Berro,"40.42754216199654, -3.666487418901514",Bright - Renovated 3 bed flat WIFI-Bills included,Entire home/apt,80,0,5,1,1
 Embajadores,"40.41168948460262, -3.706744493797955",Habitación abuhardillada en el centro de Madrid,Private room,26,0,5,179,1
 Valverde,"40.50199452201041, -3.670982766167953",Ático muy luminoso,Entire home/apt,60,3,2,0,1
 Universidad,"40.42821865494489, -3.70637321695914",COZY APARTMENT MADRID MALASAÑA,Entire home/apt,63,124,3,364,2
 Justicia,"40.4211087370489, -3.6975845504816003",Bright apartment in Chueca neighborhood,Entire home/apt,69,99,1,0,1
 Universidad,"40.42329581394558, -3.7051998259380166","Malasaña, Madrid, private room",Private room,45,46,4,89,3
 Alameda de Osuna,"40.453496453729954, -3.5909327707322354",AIRPORT/IFEMA INDIVIDUAL BATHROOM,Private room,29,176,1,0,3
 Palos de Moguer,"40.40254666168335, -3.6966726478397924",Nice flat in Madrid city centre,Entire home/apt,145,22,3,0,1
 Almagro,"40.436553276305304, -3.6967510762692912",Apartment in Chamberi,Entire home/apt,45,9,3,364,1
 Recoletos,"40.42258116860003, -3.686572541546348",Luxury Duplex in the City Center,Entire home/apt,180,20,3,364,1
 Universidad,"40.42465025820812, -3.703082862219096","Flat Right in the Center, with Screen Projector & Netflix",Entire home/apt,90,323,3,90,6
 Universidad,"40.42232555468011, -3.7059557013522304","Calle Luna, apartamento con encanto",Entire home/apt,60,0,2,0,1
 Goya,"40.424026356173904, -3.671471312302991",3 Bedroom Penthouse - Sports and Movie Cable TV,Entire home/apt,160,30,7,365,1
 Aluche,"40.395531884095966, -3.765213042589489","Aluche, 2 habitaciones, muy luminoso",Entire home/apt,75,1,50,179,2
 Prosperidad,"40.440267281522026, -3.675127428644169",Espectacular Estudio de 35 mts,Entire home/apt,49,92,2,0,1
 Sol,"40.41937420898028, -3.701619424217868",Gran Via Madrid WIFI,Entire home/apt,86,36,3,364,1
 Adelfas,"40.39954142466261, -3.6703969416768416",EXCEPTIONAL APARTMENT NEXT REAPERTURE,Entire home/apt,46,264,1,0,5
 Arapiles,"40.43441542423096, -3.7069661621759225",Habitacione doble a estrenar,Private room,45,67,1,89,2
 Universidad,"40.42246505951097, -3.7063790716308245",The coziest attic on Madrid's heart,Private room,20,5,1,0,1
 Pinar del Rey,"40.473203874125616, -3.6544486928764117",Habitación sitio tranquilo,Private room,15,9,1,365,1
 Cortes,"40.41073751379466, -3.6947860610855088",walked Art (The best of the Huertas neighborhood),Entire home/apt,89,193,20,0,3
 Simancas,"40.436660609419114, -3.630939076215637",Lovely loft with terrace and pool,Entire home/apt,75,53,2,365,2
 Bellas Vistas,"40.45054009606338, -3.704037890885965",Ático céntrico con gran terraza,Entire home/apt,50,2,2,0,1
 Guindalera,"40.433100341508926, -3.6685556288962307",APARTAMENTO EN DISTRITO SALAMANCA,Entire home/apt,40,1,150,365,2
 Embajadores,"40.4114518113228, -3.7016283526343043",Beautiful and bright flat in the heart of Lavapiés,Entire home/apt,60,40,5,1,1
 Sol,"40.4185949828038, -3.7043207337078283",PUERTA DEL SOL CENTRO CHUECA,Entire home/apt,100,1,3,365,2
 Embajadores,"40.40929619106617, -3.7079250157661807",Habitación acogedora en La Latina,Private room,30,6,1,0,1
 Valdemarín,"40.46827291236455, -3.795057944420179",BEAUTIFUL APARTMENT IN MADRID,Entire home/apt,70,0,3,0,1
 Universidad,"40.428900789061515, -3.7066923983535767",habitación doble en el centro de madrid,Private room,35,0,1,0,1
 Ibiza,"40.41984660408866, -3.6762971128548902",Luminoso Tranquilo Parque El Retiro,Entire home/apt,95,76,2,0,1
 Embajadores,"40.41090439864719, -3.69792700890453","Habit. privada, muy cosy&céntrica!",Private room,35,34,2,90,3
 Sol,"40.418034820825255, -3.7073768173718675","Habitación  privada en Callao, Madrid",Private room,25,29,3,365,1
 Embajadores,"40.40886051015947, -3.6990894964651164",Bonita casa en Lavapies,Entire home/apt,50,0,1,0,1
 Embajadores,"40.410966167588434, -3.7005285137343424",Room/2 with BREAKFAST in the CENTRE,Private room,45,9,1,365,2
 Embajadores,"40.40970952487145, -3.6998304555312767",Apartamento Centro de Madrid,Private room,50,0,7,0,1
 Cortes,"40.41471147730727, -3.701016856283502","Apartment in Center, Sol - Check in 24h.",Entire home/apt,138,19,3,0,3
 Cortes,"40.413482709822674, -3.6961397416424084",Bohemio apartamento en Huertas,Entire home/apt,128,231,1,364,6
 Lista,"40.43344813105713, -3.6746082012619135",Habitación Lavanda. Barrio Salamanc,Private room,35,57,2,0,6
 Ibiza,"40.42151471891226, -3.6737904986938217",City Center + breakfast + 24h direct airport bus,Private room,50,82,2,0,1
 Palacio,"40.415209955703695, -3.711354483236328",Historic Center. Views!  Attic Apt,Entire home/apt,81,67,3,364,1
 Acacias,"40.40413346951818, -3.7044337250942916",SINGLE OR DOUBLE ROOM CITY CENTER,Private room,23,118,2,0,2
 Niño Jesús,"40.409435300796765, -3.675616236458231",Apartamento en el centro de Madrid,Entire home/apt,60,1,14,0,1
 Peñagrande,"40.47975635737622, -3.721632853401583",HABITACIÓN ESTUDIANTE - AVDA ILUSTRACIÓN,Private room,18,8,28,1,2
 Ventas,"40.42429071584056, -3.657009480235214",1 Double room,Private room,65,1,2,364,3
 Embajadores,"40.41182392145297, -3.6984955672936537","Apartamento Lavapies, Centro Madrid",Entire home/apt,45,92,2,365,5
 Concepción,"40.43555546442687, -3.658945293526408",Amazing sunny Double room,Private room,20,10,15,364,3
 Embajadores,"40.41247778130205, -3.701996577833784",Big and Bright room downtown,Private room,55,0,1,0,1
 Bellas Vistas,"40.45314185702367, -3.7070157563742856","Quiet, bright and central apartment",Entire home/apt,60,15,3,0,1
 Palacio,"40.41499015563271, -3.70923228964539",MaMeMi: Madrid Mercado San Miguel.,Entire home/apt,115,1,5,0,1
 Timón,"40.47030553595741, -3.5849225357271886",AEROPUERTO,Private room,19,27,1,0,1
 Chopera,"40.39472732536259, -3.7006562928238598",In front Madrid-Río Park III,Private room,17,77,1,89,4
 Embajadores,"40.408646654017964, -3.6993394764054637",Bright duplex in center city,Entire home/apt,70,22,2,0,1
 Delicias,"40.396560730759255, -3.6967169285622172",10' to Centre Cozy and clean 2 pieces aparment,Entire home/apt,53,94,2,0,1
 Opañel,"40.39004918831896, -3.7276918514133417",Nice&Cheap Near Metro QueenBed XL,Private room,25,21,2,0,1
 Delicias,"40.39398854794792, -3.694200277074567",Amazing flat Madrid city centre,Private room,18,3,1,0,4
 Palacio,"40.41678785035522, -3.709791085718674",Cozy Apt. in the heart of Madrid,Entire home/apt,119,78,3,365,1
 Palacio,"40.41786740861796, -3.7105673739391785",Apartamento Palacio Real Madrid,Entire home/apt,120,11,2,0,1
 Bellas Vistas,"40.45111036197519, -3.70488721460996",Casa propia por temporadas,Entire home/apt,20,0,1,0,1
 Goya,"40.42524641011591, -3.6781268599332964",APARTAMENTO BARRIO SALAMANCA,Entire home/apt,101,105,4,1,1
 Guindalera,"40.42882936045443, -3.6664079746372726",Apartamento no disponible,Entire home/apt,45,2,3,0,1
 Sol,"40.4177879919079, -3.7046649364450728",Cozy room in the heart of the city,Private room,28,4,1,0,1
 Palacio,"40.41660507897456, -3.71176439230153",Tranquilidad en Madrid de los Austrias/Ópera,Entire home/apt,90,4,15,0,1
 Chopera,"40.39697274777156, -3.7004275135824223",Loft,Entire home/apt,40,9,2,0,1
 Embajadores,"40.40733645856643, -3.700429826042751",Hab.Privada c/baño & desayuno,Private room,45,77,2,179,1
 Arapiles,"40.437744392203214, -3.710588279152204",COSY APARTMENT IN THE CITY CENTER,Entire home/apt,55,2,5,0,1
 Pacífico,"40.40317437197895, -3.6790053659543993",Apartamento cerca de Atocha,Entire home/apt,50,11,6,0,1
 Arapiles,"40.43693160692831, -3.705843828079277",Habitación doble en Quevedo Madrid,Private room,35,0,6,0,1
 Justicia,"40.42143682614614, -3.6954563177473174",Madrid center condo- 30sqm terrace,Entire home/apt,85,112,7,0,1
 Embajadores,"40.41274606194873, -3.7062707121172562",Room double bed in a huge flat behind Plaza Mayor,Private room,23,18,1,0,6
 Aluche,"40.39611616416135, -3.7633292204366393",Private room next to universities. Madrid. Room 3,Private room,20,6,3,364,4
 Recoletos,"40.422174735443356, -3.684740764845256",Great apartment near to Parque del Retiro,Private room,100,1,2,0,1
 Embajadores,"40.41187182631395, -3.7029317528944814",l'habitación,Private room,25,0,1,0,1
 Numancia,"40.39609984927878, -3.663753574674134",ALQUILER VACACIONAL ECONOMICO,Private room,19,0,28,365,1
 Universidad,"40.4283563805124, -3.707019803062719",PISO CON ENCANTO-CONDE DUQUE,Entire home/apt,85,0,3,365,2
 Butarque,"40.344920967578425, -3.6777709887096264",Habitacion privada con baño. Bajo 100m2 Madrid rio,Private room,50,0,1,364,1
 Cortes,"40.413363571120435, -3.6974731024944605",Charming & friendly studio steps from Prado Museum,Entire home/apt,70,3,2,0,1
 Embajadores,"40.40969832694935, -3.7010825276481305",Loft 70m2 Madrid Center,Entire home/apt,60,186,2,0,2
